batch_index,image_name,width,height,source_pool,source_group,original_path,brightness_mean,contrast_std,edge_mean
1,001_mobile_night_video_20250529_205107_frame_0190.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0190.jpg,35.066,42.595,14.291
2,002_seed_streetlight_dataset_valid_train_set_1_frame_359_jpg.rf.QW8cd1X8aKCb27gzDRZw.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_1_frame_359_jpg.rf.QW8cd1X8aKCb27gzDRZw.jpg,39.739,41.069,13.257
3,003_mobile_night_video_5616515181548_frame_0081.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0081.jpg,32.758,42.07,15.045
4,004_seed_streetlight_dataset_test_train_set_1_frame_122_jpg.rf.v6pDbiNm19wt5stNdQpR.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_122_jpg.rf.v6pDbiNm19wt5stNdQpR.jpg,48.547,42.368,25.189
5,005_mobile_night_video_20250529_211431_frame_0036.jpg,1280,720,mobile_night_video,20250529_211431,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_211431\frame_0036.jpg,33.658,44.257,14.084
6,006_seed_streetlight_dataset_train_train_set_2_frame_21_jpg.rf.WAESswdnbs38q87XGr5b.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_2_frame_21_jpg.rf.WAESswdnbs38q87XGr5b.jpg,29.93,30.164,20.676
7,007_mobile_night_video_561651518145_frame_0024.jpg,1280,720,mobile_night_video,561651518145,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\561651518145\frame_0024.jpg,6.742,12.075,8.097
8,008_seed_streetlight_dataset_valid_train_set_1_frame_420_jpg.rf.9icQSdI1gDCcDiJYjUzV.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_1_frame_420_jpg.rf.9icQSdI1gDCcDiJYjUzV.jpg,39.79,34.603,14.395
9,009_mobile_night_video_20250529_205304_frame_0031.jpg,1280,720,mobile_night_video,20250529_205304,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205304\frame_0031.jpg,32.642,36.523,10.217
10,010_seed_streetlight_dataset_test_train_set_1_frame_104_jpg.rf.m8vTP062j1fJ2VoYUid1.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_104_jpg.rf.m8vTP062j1fJ2VoYUid1.jpg,48.849,34.401,18.347
