batch_index,image_name,width,height,source_pool,source_group,original_path,brightness_mean,contrast_std,edge_mean
1,001_mobile_night_video_20250529_205107_frame_0170.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0170.jpg,36.652,33.957,12.962
2,002_seed_streetlight_dataset_test_train_set_1_frame_239_jpg.rf.6siftindY97O8KoQ4D6u.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_239_jpg.rf.6siftindY97O8KoQ4D6u.jpg,54.561,58.391,17.956
3,003_mobile_night_video_5616515181548_frame_0235.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0235.jpg,34.038,38.273,13.647
4,004_seed_streetlight_dataset_train_train_set_1_frame_89_jpg.rf.iMWaRjPBlEGpLr7Jm0ob.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_1_frame_89_jpg.rf.iMWaRjPBlEGpLr7Jm0ob.jpg,35.273,38.684,10.466
5,005_mobile_night_video_20250529_211431_frame_0046.jpg,1280,720,mobile_night_video,20250529_211431,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_211431\frame_0046.jpg,35.761,43.186,16.677
6,006_seed_streetlight_dataset_valid_train_set_1_frame_25_jpg.rf.ndVP26xlNDhcSrnZpQMv.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_1_frame_25_jpg.rf.ndVP26xlNDhcSrnZpQMv.jpg,47.019,50.893,16.52
7,007_mobile_night_video_561651518145_frame_0012.jpg,1280,720,mobile_night_video,561651518145,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\561651518145\frame_0012.jpg,17.932,18.797,11.091
8,008_seed_streetlight_dataset_test_test_set_1_frame_32_jpg.rf.9wuQrQGrHc8LVMq8lyon.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\test_set_1_frame_32_jpg.rf.9wuQrQGrHc8LVMq8lyon.jpg,54.998,50.445,16.389
9,009_mobile_night_video_20250529_205304_frame_0052.jpg,1280,720,mobile_night_video,20250529_205304,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205304\frame_0052.jpg,34.563,35.206,12.187
10,010_seed_streetlight_dataset_train_train_set_1_frame_7_jpg.rf.0lzeSnJsky28BJDYLLah.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_1_frame_7_jpg.rf.0lzeSnJsky28BJDYLLah.jpg,35.501,39.099,10.584
11,011_mobile_night_video_20250529_205507_frame_0124.jpg,1280,720,mobile_night_video,20250529_205507,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205507\frame_0124.jpg,32.259,37.114,17.121
12,012_seed_streetlight_dataset_valid_train_set_1_frame_40_jpg.rf.ttfunTJTvGBwWjzl3a3H.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_1_frame_40_jpg.rf.ttfunTJTvGBwWjzl3a3H.jpg,47.352,40.821,18.456
13,013_mobile_night_video_20250529_205815_frame_0036.jpg,1280,720,mobile_night_video,20250529_205815,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205815\frame_0036.jpg,36.553,35.31,10.145
14,014_seed_streetlight_dataset_test_train_set_1_frame_245_jpg.rf.H5zvDMDlZh0YKyMmCH4g.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_245_jpg.rf.H5zvDMDlZh0YKyMmCH4g.jpg,55.033,42.392,22.75
15,015_mobile_night_video_20250529_2050207_frame_0022.jpg,1280,720,mobile_night_video,20250529_2050207,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_2050207\frame_0022.jpg,46.397,44.751,16.39
16,016_seed_streetlight_dataset_train_train_set_1_frame_383_jpg.rf.obCgdL2aD25FnD5aiTHa.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_1_frame_383_jpg.rf.obCgdL2aD25FnD5aiTHa.jpg,35.911,40.998,13.612
17,017_mobile_night_video_20250529_205437_frame_0096.jpg,1280,720,mobile_night_video,20250529_205437,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205437\frame_0096.jpg,35.624,28.528,16.89
18,018_seed_streetlight_dataset_valid_test_set_1_frame_7_jpg.rf.uXA7Zlki58bANMI8jQdJ.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\test_set_1_frame_7_jpg.rf.uXA7Zlki58bANMI8jQdJ.jpg,47.95,35.04,15.398
19,019_mobile_night_video_56165151815_frame_0015.jpg,1280,720,mobile_night_video,56165151815,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\56165151815\frame_0015.jpg,31.389,40.119,21.392
20,020_seed_streetlight_dataset_test_val_set_1_frame_45_jpg.rf.q72Rr4QocEjLbBVBC8H7.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\val_set_1_frame_45_jpg.rf.q72Rr4QocEjLbBVBC8H7.jpg,55.52,39.244,18.064
21,021_mobile_night_video_56165151814_frame_0025.jpg,1280,720,mobile_night_video,56165151814,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\56165151814\frame_0025.jpg,56.869,31.6,18.731
22,022_seed_streetlight_dataset_train_train_set_1_frame_93_jpg.rf.CWXDmKu2dJhxEEbEL5qF.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_1_frame_93_jpg.rf.CWXDmKu2dJhxEEbEL5qF.jpg,35.997,39.572,12.65
23,023_mobile_night_video_561651518146_frame_0025.jpg,1280,720,mobile_night_video,561651518146,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\561651518146\frame_0025.jpg,56.869,31.6,18.731
24,024_seed_streetlight_dataset_valid_train_set_1_frame_364_jpg.rf.vio4t6FQhojVzcmbySrx.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_1_frame_364_jpg.rf.vio4t6FQhojVzcmbySrx.jpg,48.215,46.352,18.584
25,025_mobile_night_video_20250529_205107_frame_0160.jpg,1280,720,mobile_night_video,20250529_205107,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205107\frame_0160.jpg,36.717,42.019,18.439
26,026_seed_streetlight_dataset_test_train_set_1_frame_257_jpg.rf.ZCgAZxOWy5k2Ez079bBl.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_257_jpg.rf.ZCgAZxOWy5k2Ez079bBl.jpg,55.604,42.653,22.347
27,027_mobile_night_video_5616515181548_frame_0189.jpg,1280,720,mobile_night_video,5616515181548,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\5616515181548\frame_0189.jpg,34.392,39.58,13.613
28,028_seed_streetlight_dataset_train_train_set_1_frame_355_jpg.rf.k62AaGvWFT3JsbWWcrFB.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_1_frame_355_jpg.rf.k62AaGvWFT3JsbWWcrFB.jpg,36.011,35.786,12.156
29,029_mobile_night_video_20250529_211431_frame_0007.jpg,1280,720,mobile_night_video,20250529_211431,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_211431\frame_0007.jpg,35.939,47.478,16.769
30,030_seed_streetlight_dataset_valid_train_set_1_frame_247_jpg.rf.ON4TBos0CzKPoUFYHH9U.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\train_set_1_frame_247_jpg.rf.ON4TBos0CzKPoUFYHH9U.jpg,48.676,37.541,20.726
31,031_mobile_night_video_561651518145_frame_0027.jpg,1280,720,mobile_night_video,561651518145,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\unknown_source\561651518145\frame_0027.jpg,18.852,23.295,14.542
32,032_seed_streetlight_dataset_test_val_set_1_frame_100_jpg.rf.NvE5yyW8xNqx9X1RyWJK.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\val_set_1_frame_100_jpg.rf.NvE5yyW8xNqx9X1RyWJK.jpg,56.43,49.295,23.152
33,033_mobile_night_video_20250529_205304_frame_0029.jpg,1280,720,mobile_night_video,20250529_205304,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205304\frame_0029.jpg,35.02,35.244,11.214
34,034_seed_streetlight_dataset_train_train_set_1_frame_320_jpg.rf.YrtyghI42I68w6e0QNAB.jpg,1280,720,seed_streetlight_dataset,train,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\train\train_set_1_frame_320_jpg.rf.YrtyghI42I68w6e0QNAB.jpg,36.705,42.013,18.418
35,035_mobile_night_video_20250529_205507_frame_0072.jpg,1280,720,mobile_night_video,20250529_205507,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205507\frame_0072.jpg,32.451,35.918,18.225
36,036_seed_streetlight_dataset_valid_val_set_1_frame_91_jpg.rf.2alOpzkQgDF2cux4vmvc.jpg,1280,720,seed_streetlight_dataset,valid,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\valid\val_set_1_frame_91_jpg.rf.2alOpzkQgDF2cux4vmvc.jpg,49.818,41.914,22.143
37,037_mobile_night_video_20250529_205815_frame_0050.jpg,1280,720,mobile_night_video,20250529_205815,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_205815\frame_0050.jpg,37.008,37.859,16.421
38,038_seed_streetlight_dataset_test_train_set_1_frame_389_jpg.rf.y1S6k5m2BjNjI522dawf.jpg,1280,720,seed_streetlight_dataset,test,F:\RBCCPS_Directory\datasets\annotated_seed\jobin-original-annotated-images\test\train_set_1_frame_389_jpg.rf.y1S6k5m2BjNjI522dawf.jpg,56.742,47.576,19.864
39,039_mobile_night_video_20250529_2050207_frame_0011.jpg,1280,720,mobile_night_video,20250529_2050207,F:\RBCCPS_Directory\datasets\extracted_frames\mobile_night_videos\2025-05-29\20250529_2050207\frame_0011.jpg,46.415,49.237,16.217
